time,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean
1988-01-01,6.9,0.0,73
1988-01-02,5.8,0.0,82
1988-01-03,6.9,0.8,83
1988-01-04,9.0,1.4,83
1988-01-05,4.9,5.1,79
1988-01-06,1.9,3.3,75
1988-01-07,1.6,2.8,78
1988-01-08,6.2,3.0,83
1988-01-09,6.1,0.0,62
1988-01-10,1.4,0.3,61
1988-01-11,1.3,0.0,62
1988-01-12,3.4,0.9,71
1988-01-13,5.5,0.0,70
1988-01-14,6.8,0.0,77
1988-01-15,6.9,0.0,76
1988-01-16,7.3,3.0,81
1988-01-17,4.8,1.2,69
1988-01-18,3.6,0.0,68
1988-01-19,3.0,0.0,60
1988-01-20,5.9,0.0,73
1988-01-21,5.4,2.3,86
1988-01-22,10.2,1.8,89
1988-01-23,9.3,0.6,63
1988-01-24,3.2,0.0,48
1988-01-25,3.4,0.0,64
1988-01-26,4.1,0.0,67
1988-01-27,3.6,0.0,75
1988-01-28,4.7,0.0,65
1988-01-29,6.5,0.0,70
1988-01-30,4.4,0.0,70
1988-01-31,5.2,0.0,72
1988-02-01,3.6,0.0,66
1988-02-02,5.9,0.0,66
1988-02-03,0.6,0.1,48
1988-02-04,1.6,0.0,49
1988-02-05,6.9,0.0,70
1988-02-06,5.6,3.6,86
1988-02-07,2.2,0.0,57
1988-02-08,1.2,0.0,55
1988-02-09,1.5,0.0,69
1988-02-10,1.4,0.0,60
1988-02-11,2.3,0.0,53
1988-02-12,1.8,4.4,81
1988-02-13,2.8,0.0,66
1988-02-14,1.9,1.1,62
1988-02-15,1.0,1.3,60
1988-02-16,-0.3,0.3,55
1988-02-17,-0.2,0.0,58
1988-02-18,0.5,0.4,62
1988-02-19,1.7,0.0,51
1988-02-20,3.6,0.0,60
1988-02-21,2.1,0.0,48
1988-02-22,0.9,0.0,56
1988-02-23,4.9,0.0,69
1988-02-24,5.3,0.0,69
1988-02-25,3.2,0.0,73
1988-02-26,4.7,0.0,69
1988-02-27,2.2,9.0,88
1988-02-28,1.8,0.0,66
1988-02-29,3.6,0.0,67
1988-03-01,6.2,3.9,83
1988-03-02,6.0,1.8,84
1988-03-03,6.1,1.4,76
1988-03-04,3.4,0.0,47
1988-03-05,4.8,0.0,65
1988-03-06,5.5,0.0,69
1988-03-07,5.8,0.5,59
1988-03-08,3.2,0.2,58
1988-03-09,3.4,0.1,68
1988-03-10,5.3,0.0,70
1988-03-11,8.6,0.0,67
1988-03-12,13.3,22.7,71
1988-03-13,9.4,0.0,60
1988-03-14,10.3,0.0,79
1988-03-15,10.5,10.0,64
1988-03-16,4.3,0.0,46
1988-03-17,5.5,9.2,78
1988-03-18,6.5,18.0,88
1988-03-19,7.7,0.0,85
1988-03-20,7.3,1.2,74
1988-03-21,6.2,2.2,70
1988-03-22,8.3,58.0,89
1988-03-23,10.6,0.0,64
1988-03-24,7.3,0.9,52
1988-03-25,7.6,0.1,71
1988-03-26,6.2,22.6,89
1988-03-27,6.8,1.0,72
1988-03-28,8.4,0.0,73
1988-03-29,8.3,11.0,84
1988-03-30,7.1,2.6,76
1988-03-31,5.2,3.4,78
1988-04-01,6.7,0.0,72
1988-04-02,7.7,0.0,75
1988-04-03,10.4,0.0,75
1988-04-04,10.3,0.0,74
1988-04-05,10.9,0.4,72
1988-04-06,12.1,0.0,68
1988-04-07,6.7,17.1,76
1988-04-08,3.0,29.8,87
1988-04-09,5.6,0.0,67
1988-04-10,6.8,0.0,72
1988-04-11,9.1,0.0,70
1988-04-12,12.5,0.0,68
1988-04-13,15.1,14.0,84
1988-04-14,12.7,1.0,87
1988-04-15,11.9,0.4,71
1988-04-16,11.8,0.0,59
1988-04-17,12.3,0.0,74
